species,longitude,latitude
Phyllotis xanthopygus,-71.05495,-15.91951
Phyllotis xanthopygus,-70.35,-14.85606
Abrothrix jelskii,-70.35,-14.85606
Akodon kofordi,-69.68889,-14.10442
Phyllotis xanthopygus,-71.13333,-16.36667
Abrothrix jelskii,-70.03333,-15.81887
Phyllotis xanthopygus,-69.71158,-14.20124
Auliscomys pictus,-69.71158,-14.20124
Phyllotis xanthopygus,-70.03333,-15.81887
Auliscomys pictus,-69.72292,-14.22794
Phyllotis xanthopygus,-69.73426,-14.25466
Phyllotis xanthopygus,-70.5558,-15.86667
Auliscomys pictus,-69.68889,-14.16224
Auliscomys pictus,-69.71725,-14.21458
Phyllotis osilae,-70.35,-14.85606
Phyllotis osilae,-69.68889,-14.16224
Chinchillula sahamae,-69.71725,-14.21458
Auliscomys pictus,-70.5558,-15.86667
Auliscomys sublimis,-71.05495,-15.91951
Neotomys ebriosus,-69.71725,-14.21458
Chinchillula sahamae,-70.83333,-16.03333
Auliscomys pictus,-70.19283,-14.32108
Calomys sorellus,-70.35,-14.85606
Lycalopex culpaeus,-70.83333,-16.03333
Neotomys ebriosus,-69.68889,-14.16224
Phyllotis osilae,-69.71158,-14.20124
Auliscomys sublimis,-69.71725,-14.21458
Lagidium peruanum,-69.71158,-14.20124
Vicugna vicugna,-69.73426,-14.25466
Lycalopex culpaeus,-69.73426,-14.25466
Lycalopex culpaeus,-70.33639,-16.93333
Hippocamelus antisensis,-70.03278,-17.4383
Lama guanicoe,-71.55718,-16.7167
Odocoileus virginianus,-71.66667,-13.20961
Lycalopex griseus,-74.95,-14.87852
Vicugna vicugna,-70.83333,-16.03333
Hippocamelus antisensis,-69.66667,-16.38154
Leopardus jacobitus,-71.05624,-16.50289
Hippocamelus antisensis,-69.90473,-16.1339
Thylamys pallidior,-71.72195,-17.07083
Carollia perspicillata,-69.67201,-13.90419
Myotis atacamensis,-71.72195,-17.07083
Furipterus horrens,-69.67201,-13.90419
Thylamys pallidior,-73.59945,-16.22487
Nephelomys keaysi,-69.68889,-13.97424
Thomasomys aureus,-69.68889,-14.06101
Peropteryx kappleri,-69.67201,-13.90419
Platyrrhinus infuscus,-69.67201,-13.90419
Abrothrix jelskii,-70.15,-15.93356
Myotis nigricans,-69.67201,-13.90419
Mus musculus,-71.37004,-16.4
Calomys sorellus,-70.08491,-15.10248
Oligoryzomys destructor,-69.68889,-14.06101
Desmodus rotundus,-69.67201,-13.90419
Anoura caudifera,-69.67201,-13.90419
